,precision,recall,f1-score,support
0,0.9408143939393939,0.991846921797005,0.965656892920784,6010.0
1,0.2912621359223301,0.30456852791878175,0.2977667493796526,394.0
2,0.18181818181818182,0.053763440860215055,0.08298755186721991,186.0
3,0.0,0.0,0.0,81.0
4,0.0,0.0,0.0,54.0
5,0.0,0.0,0.0,30.0
6,0.5,0.034482758620689655,0.06451612903225806,29.0
7,0.0,0.0,0.0,15.0
8,0.0,0.0,0.0,9.0
9,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
10,0.0,0.0,0.0,6.0
11,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,1.0
accuracy,0.8928937728937729,0.8928937728937729,0.8928937728937729,0.8928937728937729
macro avg,0.1498152030008826,0.11453299883533498,0.11628404376888318,6825.0
weighted avg,0.8526549407981445,0.8928937728937729,0.8703625901976166,6825.0
